Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
6/30/20 23:40,Boise,ID,USA,,East,Green light with streak see over downtown boise,7/3/20,
6/30/20 23:30,Monroe City,MO,USA,Sphere,60-90 seconds,"On June 30th, 2020 at approximately 11:30pm I walked out onto my back deck, checking to make sure everything was inside before going t",8/27/20,
6/30/20 22:37,Ladera Ranch,CA,USA,Light,2 seconds,Disk clump of bright gold and white lights. silent and below the fog and fast.,7/9/20,
6/30/20 22:05,Kokomo,IN,USA,Light,15 minutes,"Bright Lights Moving Erratically over Kokomo, IN.",7/3/20,
6/30/20 22:00,Gibsonton,FL,USA,Fireball,5-10 minutes,Round large object emitting red light,7/23/20,
6/30/20 20:00,Elkins,WV,USA,Triangle,2 minutes,On the last Day of June 2020 there was an orange light hoovering above the pine trees just behind our house as the neighbors let off fi,9/4/20,
6/30/20 19:28,Ashland,OR,USA,Sphere,<20 seconds,"Small, rotating metallic sphere, over Grizzly Peak, Ashland, OR traveling southbound; then disappears.",7/3/20,
6/30/20 16:15,Milwaukie,OR,USA,Diamond,<1 minute,I was in my backyard I was oriented East. It was partly cloudy that day. I was going back into my house when an object caught my eye.,7/9/20,
6/30/20 00:25,Pueblo,CO,USA,,,MADAR Node 83,7/23/20,
6/29/20 23:00,Magnet,IN,USA,Light,20 minutes,"Two bright lights hovering in sky, blinking on and off, leaving in opposite directions, then one reappearing.",7/3/20,
6/29/20 22:44,Centennial,CO,USA,Sphere,2-4 minutes,4 star-sized craft moving over Centennial Colorado in different directions in under 4 minutes.,7/3/20,
6/29/20 22:30,St. Clair Shores,MI,USA,Circle,5-6 seconds,Lights Spinning Slowly for a moment then zoomed north.,7/3/20,
6/29/20 22:00,Big Bear Lake,CA,USA,Unknown,1 seconds,2 Bright Speeding Lights over Big Bear Lake,7/9/20,
6/29/20 21:50,Arden,NC,USA,Teardrop,1 minute,Glowing orange inverted teardrop silently flying low overhead,7/3/20,
