Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
5/31/22 23:28,Old Fort,TN,USA,Light,5-6 seconds,"Light that appeared similar to another star, traveling exactly like a LEO satellite. Stopped, pinballed, and shot off out of sight.",6/22/22,Yes
5/31/22 23:00,Long Beach,CA,USA,Fireball,1.5 minutes,Large Hovering Fireball,6/22/22,
5/31/22 22:34,Lake Hopatcong,NJ,USA,Light,.5,Red light gets sucked into white light,6/22/22,
5/31/22 22:24,Lake Hopatcong,NJ,USA,Light,10:24:47- 10:24:48,Red light gets sucked into white crack opening in sky,6/22/22,
5/31/22 22:00,Medina,OH,USA,Star,approx 1 minute,looked like A very very bright Venus in the northern sky,6/22/22,
5/31/22 21:59,Boise,ID,USA,Sphere,I watched for about 20 mi,I have 3 pictures I took,6/22/22,Yes
5/31/22 20:20,Ajax,ON,Canada,,,MADAR Node 41,6/22/22,
5/31/22 11:45,Delmar,NY,USA,Light,Less than a second,Pink Flash of Light,6/22/22,
5/31/22 09:20,,,USA,Unknown,"not sure, 10-20 min","As passenger on plane, cruising altitude, daylight, saw 3 bright lights,(headlights, oncoming) in triangle pattern, approach plane",9/9/22,Yes
5/31/22 05:00,Greenwood,IN,USA,Circle,Over an hour.,I took my dogs out just before 5am this morning and saw a flashing light to the west. The object was not moving and high in the sky.,6/22/22,Yes
